dependabot[bot],"release, notes, https","signed-off-by, dependabot, bot","dependabot, bot, support","bot, support, github.com","from, 2.0.7, to"
Berend de Boer,"format, requirements, properly","make, examples, as","examples, as, well","more, files, it","files, it, ignore"
Eugene Koontz,"~je, wrap, in","wrap, in, vector","in, vector, as","vector, as, it","as, it, should"
Nick Mitchell,"feat, plugins/plugin-kubeui, kubectl","plugins/plugin-kubeui, kubectl, top","kubectl, top, support","top, support, fixes","support, fixes, 169"
JasonZhou404,"planning, pass, st_bounds_decider","pass, st_bounds_decider, 's","st_bounds_decider, 's, mappings","'s, mappings, to","mappings, to, next"
Xiangquan Xiao,"hmi, add, storytelling","add, storytelling, module","tick, retire, unused","retire, unused, module","hmi, retire, tick"
panjiacheng,"planning, side-pass, stop","side-pass, stop, bug","stop, bug, fix","planning, set, ignore","set, ignore, decisions"
wfgsy101,"add, dev_kit, config","dev_kit, config, files","update, the, dev_kit","the, dev_kit, directory","dev_kit, directory, under"
sjiang2018,"planning, skip, path_reuse","skip, path_reuse, when","path_reuse, when, not","when, not, in","not, in, lane_follow"
michael4338,"paladin, add, validations","add, validations, for","validations, for, input","for, input, data","print, error, logs"
michaelfdickey,"text, entry, box","entry, box, working","box, working, now",,
DevTools Bot,"update, stats, via","stats, via, travis","via, travis, cron",,
Tyler Thome,,,,,
William Buck,"merge, pull, request","pull, request, 297","request, 297, from","297, from, tylerthome/master","from, tylerthome/master, build"
Birgerev,"threaded, world, saving","threaded, entity, saving","reverted, some, packages","threading, on, chunk","on, chunk, generation"
Diogo Ribeiro,"structural, upgrades, make","upgrades, make, it","make, it, easier","it, easier, to","easier, to, add"
jerome-wilson-developer,"added, git-pages, and","git-pages, and, netlify","and, netlify, web","netlify, web, links",
GoSeungUk,,,,,
albertgoncalves,"path, only, for","only, for, linux","for, linux, for","linux, for, now","for, now, anyways"
Sumaira Afzal,,,,,
GitHub Actions Bot,,,,,
Sean DuBois,"add, peerconnectionfunctionalitytest.exchangemedia, create","peerconnectionfunctionalitytest.exchangemedia, create, two","create, two, peerconnections","two, peerconnections, and","peerconnections, and, wait"
chehefen,"merge, branch, 'master","branch, 'master, into","'master, into, felix-dev",,
Daniel Menchaca Luna,"se, agrega, mappeo","agrega, mappeo, para","mappeo, para, trabajar","para, trabajar, con","trabajar, con, brakets"
Max Isom,"collapse, navbar, sooner",,,,
ww,"add, process, mutil-cpu","process, mutil-cpu, bug",,,
John Hollowell,,,,,
Cal Stephens,"add, inflation, calculator","inflation, calculator, blog","calculator, blog, post",,
TheLimeGlass,,,,,
Nicolas A. Botello Jr,"merge, pull, request","pull, request, 10","request, 10, from","10, from, bote795/feature/addtypes","from, bote795/feature/addtypes, refactor"
benleelewis,,,,,
dtr,"update, at, 1577839901479","update, at, 1577839901623",,,
Sonya McCree,"project, updates, 31","updates, 31, december","31, december, working","december, working, on","working, on, dialogue"
Ola Hallengren,,,,,
SnackKing,"added, tradetester, page",,,,
Shira Maximov,"updated, hammer_cli, to","hammer_cli, to, 0.19.1",,,
xixuecao,"61, rotate, list",,,,
vAporInside,,,,,
BlackTecno,"add, files, via","files, via, upload",,,
Minsu Han,"set, initial, files",,,,
John Schumacher,,,,,
encgoo,"add, files, via","files, via, upload",,,
Abd Asis,"add, background, on","background, on, register","on, register, form",,
Nathan Thimothe,,,,,
tri angga utama,"tambah, filter, item","filter, item, cetak",,,
n4Nax,,,,,
limin0801,"upload, by, picgo",,,,
DsTyM,"availablepharmacy, class, entity","class, entity, created",,,
Genevieve Warren,"review, on, staging",,,,
Robin Giese,"gardening, make, package","make, package, command","package, command, names","command, names, consistent","fix, bit, math"
Andre Masella,,,,,
Truong Nguyen`,"update, data, file","data, file, at","file, at, 2020-01-01t00:51:56.144z","at, 2020-01-01t00:51:56.144z, ci","2020-01-01t00:51:56.144z, ci, skip"
froehlichA,"add, common, home","add, anonymice, and","anonymice, and, fantasque","and, fantasque, fonts","switch, tint2, theme"
Amirali Sharifian,"add, introduction, figures",,,,
German,"cost, transformation, function","transformation, function, edited",,,
Marcos Minond,"entry, controller, does","controller, does, not","does, not, depend","not, depend, on","depend, on, timezone"
UdjinM6,"wed, jan, 1","jan, 1, 00:48:24","1, 00:48:24, utc","00:48:24, utc, 2020","utc, 2020, autoupdate"
Charles E. Thornton,"created, readme, and","readme, and, license","and, license, files",,
BEugeneSmith,,,,,
Chmouel Boudjnah,,,,,
Demarius Edwards,"automatically, backed, up","backed, up, by","up, by, learn",,
Jenkins Toucan Toco,"automatic, update, of","update, of, value.json",,,
Austin Gil,"adding, project, name","fixed, borders, sizes",,,
Brayden Marshall,"went, through, entire","through, entire, vimrc","entire, vimrc, and","vimrc, and, tweaked","and, tweaked, settings"
Logan Ralston,"highlight, link, of","link, of, active","of, active, page","active, page, on","page, on, navbar"
npm gh-pages,,,,,
michael sandoval,"solved, the, issue","the, issue, of","issue, of, rendering","of, rendering, a","rendering, a, new"
Stephan Risi,"merge, pull, request","deleted, old, preprocessing","old, preprocessing, files","pull, request, 59","request, 59, from"
superj80820,,,,,
Peiling Ding,"update, for, 2019-12-31",,,,
nprindle,"add, mapping, in","mapping, in, nix","in, nix, files","nix, files, to","files, to, insert"
getgads,,,,,
Charles Provencher,"dispatchfile, initial, commit","initial, commit, with","commit, with, test","with, test, task",
Spencer Dent,,,,,
Jonathan Boiser,"fix, a-function, commands","a-function, commands, for","commands, for, js","for, js, using","js, using, tree-sitter"
t9md,"merge, pull, request","pull, request, 1134","request, 1134, from","1134, from, jonboiser/fix-a-f","from, jonboiser/fix-a-f, fix"
Erik Alfvin,"responsive, header, sizes","header, sizes, for","sizes, for, mobile","for, mobile, responsive","mobile, responsive, orbit"
vade,"use, -gt, for","-gt, for, strip","for, strip, logic","strip, logic, fixes","logic, fixes, multiple"
simiyen,"half, of, mac","of, mac, complated",,,
SatusNovandi,,,,,
jellyfish12jellyfish,,,,,
Joel Parker Henderson,"reword, demo, tags","demo, tags, as","tags, as, per","as, per, bonnie","refactor, demo, from"
tylerthome,"merge, pull, request","pull, request, 294","request, 294, from","294, from, hackforla/tomdemo","from, hackforla/tomdemo, create"
Soup-de-Loop,"last, travis, error","travis, error, missed","error, missed, a","missed, a, double","a, double, space"
qronix,"refactored, login, form","login, form, to","form, to, register","to, register, and","register, and, login"
mokumus,"happy, new, year","new, year, commit","year, commit, also","commit, also, aco","also, aco, tests"
shadowgritz,,,,,
ripamf2991,,,,,
"Nicolas ""Pixel"" Noble","slightly, moving, a","moving, a, signal","adding, pio, dev","pio, dev, 's","dev, 's, verilog"
Tiffani,"add, footer, to","footer, to, art","to, art, page","footer, to, blog","to, blog, and"
Tiffani Elmore,"merge, pull, request","pull, request, 5","request, 5, from","5, from, grace000/add-contact-footer","from, grace000/add-contact-footer, add"
Vish Potnis,"added, default, flask","default, flask, env","flask, env, file","update, requirements.txt, for","requirements.txt, for, dotenv"
daniel-farkas-dev,"rename, input, to","input, to, input.html",,,
Burgess Chang,,,,,
ChordWiz@swc_20180076,,,,,
Hasan Unlu,"main.c, is, added",,,,
tao.lu,"happy, new, year","new, year, 2020","year, 2020, i","2020, i, did","i, did, it"
mhandipranata,"result, image, added","image, added, to","added, to, readme.md",,
Kevin Deng,,,,,
Sanyam Kapoor,"remove, cli, module","migrate, ddpg, to","ddpg, to, new","to, new, modules",
Fitor Bogi Irawan,"membuat, file, test","file, test, baru","test, baru, .txt",,
eGust,,,,,
Matthew Mingde Zeng,"use, document.documentelement.clientheight, to","document.documentelement.clientheight, to, scroll","to, scroll, page",,
Johan,"chore, move, chord","move, chord, finder","chord, finder, result","finder, result, to","result, to, separate"
slskopytko,,,,,
kelypso,,,,,
LyghtningWither,,,,,
andrew,"refactored, python_alias, into","python_alias, into, shell_init",,,
guadguadt,,,,,
Li Yin,,,,,
Håvar Henriksen,"pontoon, update, norwegian","update, norwegian, bokmål","norwegian, bokmål, nb-no","bokmål, nb-no, localization","nb-no, localization, of"
otiny,,,,,
mbatoul,"write, historical, data","historical, data, script",,,
serik1987,"added, loading, metadata","loading, metadata, from","metadata, from, the","from, the, manifest","the, manifest, file"
Scott Matsuda,"automatically, backed, up","backed, up, by","up, by, learn",,
Valerio Proietti,,,,,
Rheinard Korf,"fix, aws-amplify/auth, 3855","aws-amplify/auth, 3855, add","3855, add, identitypoolregion","add, identitypoolregion, to","identitypoolregion, to, core"
Aryan J,"fix, aws-amplify, delete","aws-amplify, delete, unused","delete, unused, amazonaipredictionsprovider","unused, amazonaipredictionsprovider, import","amazonaipredictionsprovider, import, 4629"
Dustin Noyes,"rolling, back, accidental","back, accidental, commit","accidental, commit, rolling","commit, rolling, back","fix, 4586, 4614"
Praveen Gupta,"fixes, 4225, decouple","4225, decouple, local","decouple, local, storage","local, storage, key","storage, key, amplify-signin-with-hostedui"
elorzafe,"fix, aws-amplify/pubsub, reconnect","aws-amplify/pubsub, reconnect, issue","reconnect, issue, 4618",,
Carlos Cornejo,,,,,
Xackery Xtal,"added, tag, support",,,,
Alex Castells,"task, lgtm, add","lgtm, add, static","add, static, code","static, code, analyzer","code, analyzer, badge"
balace ballack,"server, management, of","improved, server, management","management, of, gallery","of, gallery, pics","gallery, pics, added"
Dilip Sundarraj,"removed, the, unwanted","the, unwanted, tests",,,
Matteo Giaccone,,,,,
q--,"pattern, with, version","with, version, detection","svg, logo, for","logo, for, red","for, red, hat"
Paul Phan,"add, pagefly, landing","pagefly, landing, page","landing, page, builder",,
Arnaud Ligny,"catch, cecil, version","cecil, version, 1","version, 1, _phpoole_","1, _phpoole_, is","_phpoole_, is, no"
Hendrik Söbbing,"add, detection, patterns","detection, patterns, for","patterns, for, shopware","for, shopware, 6","shopware, 6, signed-off-by"
Ali Aghaie,"update, shopfa, icon",,,,
Abhinav,"add, expertrec, site","expertrec, site, search",,,
Websale,"changes, for, websale-recognition","merge, pull, request","pull, request, 1","request, 1, from","1, from, websale/wappalyzer-websale"
汪心禾,,,,,
みかんのめがね,"add, japanese, language","japanese, language, i","language, i, 've","i, 've, added","'ve, added, the"
noahfranco,"site, is, mobile","is, mobile, responsive","mobile, responsive, and","responsive, and, looks","and, looks, good"
Bruno Barcarol Guimarães,,,,,
bulexu,,,,,
Devin Halladay,"fix, issues, get","issues, get, user","get, user, auth","user, auth, part","auth, part, 1"
Lee Bardon,"automatically, backed, up","backed, up, by","up, by, learn",,
Mircea (Mark) Halmagiu,"using, the, issues","the, issues, api","issues, api, instead","api, instead, of","instead, of, the"
thelamer,"bugfix, for, neon",,,,
Antony Messerli,"merge, pull, request","pull, request, 470","request, 470, from","470, from, netbootxyz/kde-fix","from, netbootxyz/kde-fix, bugfix"
LaughingBudda,"added, member, aditya",,,,
underunderstood,"airtable-github-export, update, mcflurry.geojson",,,,
LesLiu94,"added, domain, objects","domain, objects, enums","objects, enums, and","enums, and, a","and, a, composite"
Hazem,"add, python-to-exe, project",,,,
osrsbox,"updated, monster, database","monster, database, push","database, push, pypi","push, pypi, version","pypi, version, 1.2.23"
Menny Even Danan,,,,,
Gavin Howard,"fix, the, main","the, main, source","main, source, file",,
Ocean-ey,"update, code, description","code, description, code","description, code, no","code, no, longer","no, longer, requires"
laurent,,,,,
sabarish.sasidharan,"user, story, 2002",,,,
davidbyoung,"changed, composer, to","composer, to, prefer","to, prefer, stable","prefer, stable, packages","stable, packages, which"
Mirko Brombin,"fix, issue, 1",,,,
Damien Elmes,"drop, isort, req","isort, req, completely","req, completely, to","completely, to, work","to, work, around"
Andrew Leverette,"update, leap, solution",,,,
numairmansur,,,,,
bot,"2020-01-01t00:52+00:00, skip, ci",,,,
Mahmudul Hoque,"working, on, password","on, password, reset","password, reset, email",,
ItsDeltin,"fixed, calling, variables","calling, variables, in","variables, in, indexed","in, indexed, variables","indexed, variables, as"
RODNEY CURL,,,,,
Hampus,"update, readme.md, changed","readme.md, changed, so","changed, so, that","so, that, it","that, it, is"
Zack Johnson,"created, first, map","first, map, temp","map, temp, art","temp, art, first","art, first, map"
terrypacker,"add, role, vs.","role, vs., rolevo","vs., rolevo, concept","rolevo, concept, and","concept, and, write"
Alan Field,"robot, triggering, ci","triggering, ci, on","ci, on, branch","on, branch, 'release-next","branch, 'release-next, after"
"Pai, Darshan S","example, daily, 407",,,,
Rietty,"finished, day, 5","day, 5, 2015",,,
Kevin Li,,,,,
ymatuhin,"source, changes, for","changes, for, v2.0.2","for, v2.0.2, rewrote","v2.0.2, rewrote, checking","rewrote, checking, logic"
David Cornelis Groothuizen Dijkema,"changed, recursion, rules","recursion, rules, to","rules, to, avoid","to, avoid, generating","avoid, generating, a"
Montana Mendy,"using, axios/promises, to","axios/promises, to, return","to, return, vuns",,
Rick Cogley,"logr, new, post","new, post, 20200101-095245",,,
phorton1,"year, end, commit_push",,,,
Crista Lopes,"minor, aesthetic, improvements",,,,
jerryfishzz,"user, behavior, state","behavior, state, modification","state, modification, feat","modification, feat, rename","feat, rename, userbehavior"
Martin Drab,"launcher, add, the","add, the, first","the, first, implementation",,
GitHub Action Bot,,,,,
Markus Heidt,,,,,
Adrien Tateno,"implement, triggers, and","triggers, and, terminal","and, terminal, dimension","terminal, dimension, handling",
Brandon Galletta,,,,,
Ove,,,,,
suhuiAdmin,,,,,
Ofek Lev,,,,,
kosukesaigusa,"rebuilding, site, wed","site, wed, jan","wed, jan, 1","jan, 1, 09:52:51","1, 09:52:51, jst"
Shizcow,"another, slight, performance","slight, performance, boost","performance, boost, in","boost, in, term","in, term, switching"
